Name,Host Species,Host,Country of Origin,Domesticated,
SRX5399999,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400000,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400001,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400002,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400003,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400004,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400006,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400007,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400008,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400009,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400010,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400011,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400012,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400013,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400014,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400015,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400016,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400017,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400018,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400019,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400020,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400021,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400022,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400023,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400024,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400025,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400028,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400029,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400030,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400031,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400032,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400033,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400034,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400036,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400038,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400039,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
SRX5400040,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400041,BOVINE-UK,RESERVOIR,United Kingdom,CATTLE,DOMESTICATE
SRX5400042,BADGER-UK,RESERVOIR,United Kingdom,WILDLIFE,WILDLIFE
