Name,Species
SRX5399999,1
SRX5400000,1
SRX5400001,1
SRX5400002,1
SRX5400003,1
SRX5400004,1
SRX5400006,1
SRX5400007,1
SRX5400008,0
SRX5400009,0
SRX5400010,1
SRX5400011,1
SRX5400012,0
SRX5400013,0
SRX5400014,0
SRX5400015,0
SRX5400016,1
SRX5400017,1
SRX5400018,1
SRX5400019,1
SRX5400020,1
SRX5400021,1
SRX5400022,1
SRX5400023,1
SRX5400024,1
SRX5400025,1
SRX5400028,0
SRX5400029,0
SRX5400030,0
SRX5400031,0
SRX5400032,0
SRX5400033,0
SRX5400034,0
SRX5400036,0
SRX5400038,0
SRX5400039,1
SRX5400040,0
SRX5400041,0
SRX5400042,1
SRX5400043,1
SRX5400044,0
SRX5400045,0
SRX5400046,0
SRX5400047,0
SRX5400048,0
SRX5400050,1
SRX5400051,1
SRX5400052,1
SRX5400053,1
SRX5400054,1
SRX5400055,1
SRX5400056,1
SRX5400057,1
SRX5400059,0
SRX5400063,0
SRX5400068,0
SRX5400069,1
SRX5400070,0
SRX5400071,0
SRX5400072,0
SRX5400075,0
SRX5400077,0
SRX5400078,0
SRX5400079,0
SRX5400080,0
SRX5400082,0
SRX5400083,0
SRX5400084,0
SRX5400087,1
SRX5400089,1
SRX5400090,1
SRX5400091,1
SRX5400092,1
SRX5400093,0
SRX5400094,0
SRX5400095,0
SRX5400096,0
SRX5400097,0
SRX5400098,0
SRX5400099,1
SRX5400100,1
SRX5400101,1
SRX5400102,1
SRX5400104,1
SRX5400105,1
SRX5400106,1
SRX5400107,1
SRX5400109,1
SRX5400111,0
SRX5400112,0
SRX5400113,0
SRX5400114,0
SRX5400115,0
SRX5400119,0
SRX5400120,0
SRX5400121,0
SRX5400122,0
SRX5400123,0
SRX5400124,0
SRX5400125,0
SRX5400126,0
SRX5400128,0
SRX5400129,0
SRX5400130,1
SRX5400131,1
SRX5400133,1
SRX5400134,1
SRX5400135,1
SRX5400136,1
SRX5400137,1
SRX5400138,1
SRX5400139,1
SRX5400140,1
SRX5400141,1
SRX5400142,1
SRX5400145,1
SRX5400146,1
SRX5400147,1
SRX5400153,1
SRX5400154,1
SRX5400155,1
SRX5400156,1
SRX5400157,1
SRX5400158,1
SRX5400159,1
SRX5400160,1
SRX5400161,1
SRX5400162,1
SRX5400167,1
SRX5400169,1
SRX5400170,1
SRX5400171,1
SRX5400172,1
SRX5400174,0
SRX5400175,0
SRX5400176,0
SRX5400177,0
SRX5400178,0
SRX5400179,0
SRX5400180,0
SRX5400181,0
SRX5400182,0
SRX5400183,1
SRX5400184,1
SRX5400185,1
SRX5400186,1
SRX5400187,1
SRX5400188,1
SRX5400189,1
SRX5400190,1
SRX5400191,1
SRX5400192,1
SRX5400193,0
SRX5400194,0
SRX5400196,0
SRX5400197,0
SRX5400199,0
SRX5400201,0
SRX5400202,0
SRX5400204,0
SRX5400206,0
SRX5400207,0
SRX5400209,0
SRX5400210,1
SRX5400211,1
SRX5400212,0
SRX5400213,0
SRX5400215,0
SRX5400216,0
SRX5400217,0
SRX5400218,0
SRX5400219,0
SRX5400220,0
SRX5400221,0
SRX5400222,0
SRX5400223,0
SRX5400224,0
SRX5400225,0
SRX5400227,1
SRX5400228,1
SRX5400229,1
SRX5400230,1
SRX5400232,1
SRX5400233,1
SRX5400234,1
SRX5400235,1
SRX5400236,1
SRX5400237,1
SRX5400238,1
SRX5400239,1
SRX5400240,1
SRX5400241,1
SRX5400242,1
SRX5400243,1
SRX5400244,1
SRX5400245,1
SRX5400246,1
SRX5400247,1
SRX5400248,1
SRX5400249,1
SRX5400250,1
SRX5400251,1
SRX5400252,0
SRX5400253,0
SRX5400255,0
SRX5400257,0
SRX5400258,0
SRX5400259,0
SRX5400260,0
SRX5400261,0
SRX5400262,1
SRX5400263,1
SRX5400264,1
SRX5400265,1
SRX5400266,1
SRX5400267,1
SRX5400268,1
SRX5400269,1
SRX5400270,1
SRX5400271,1
SRX5400272,1
SRX5400275,0
SRX5400276,0
SRX5400277,0
SRX5400278,0
SRX5400280,0
SRX5400281,0
SRX5400283,0
SRX5400286,0
SRX5400287,1
SRX5400288,0
SRX5400289,0
SRX5400290,1
SRX5400291,1
SRX5400296,1
SRX5400297,1
SRX5400299,1
SRX5400300,0
SRX5400301,0
SRX5400303,0
SRX5400304,0
SRX5400305,0
SRX5400306,1
SRX5400307,1
SRX5400308,1
SRX5400309,1
SRX5400310,0
SRX5400311,1
SRX5400312,1
SRX5400313,1
SRX5400314,1
SRX5400315,1
SRX5400316,0
SRX5400317,0
SRX5400324,1
SRX5400325,1
SRX5400327,1
SRX5400328,0
SRX5400329,0
SRX5400330,0
SRX5400331,0
SRX5400332,0
SRX5400333,0
SRX5400334,0
SRX5400335,0
SRX5400339,0
SRX5400340,0
SRX5400341,1
SRX5400342,1
SRX5400343,1
SRX5400344,0
SRX5400345,1
SRX5400346,1
SRX5400347,1
SRX5400348,1
SRX5400349,1
SRX5400350,0
