Name,Species
SRX5399999_trimmed_R1.scaffold.annot,1
SRX5400000_trimmed_R1.scaffold.annot,1
SRX5400001_trimmed_R1.scaffold.annot,1
SRX5400002_trimmed_R1.scaffold.annot,1
SRX5400003_trimmed_R1.scaffold.annot,1
SRX5400004_trimmed_R1.scaffold.annot,1
SRX5400006_trimmed_R1.scaffold.annot,1
SRX5400007_trimmed_R1.scaffold.annot,1
SRX5400008_trimmed_R1.scaffold.annot,0
SRX5400009_trimmed_R1.scaffold.annot,0
SRX5400010_trimmed_R1.scaffold.annot,1
SRX5400011_trimmed_R1.scaffold.annot,1
SRX5400012_trimmed_R1.scaffold.annot,0
SRX5400013_trimmed_R1.scaffold.annot,0
SRX5400014_trimmed_R1.scaffold.annot,0
SRX5400015_trimmed_R1.scaffold.annot,0
SRX5400016_trimmed_R1.scaffold.annot,1
SRX5400017_trimmed_R1.scaffold.annot,1
SRX5400018_trimmed_R1.scaffold.annot,1
SRX5400019_trimmed_R1.scaffold.annot,1
SRX5400020_trimmed_R1.scaffold.annot,1
SRX5400021_trimmed_R1.scaffold.annot,1
SRX5400022_trimmed_R1.scaffold.annot,1
SRX5400023_trimmed_R1.scaffold.annot,1
SRX5400024_trimmed_R1.scaffold.annot,1
SRX5400025_trimmed_R1.scaffold.annot,1
SRX5400028_trimmed_R1.scaffold.annot,0
SRX5400029_trimmed_R1.scaffold.annot,0
SRX5400030_trimmed_R1.scaffold.annot,0
SRX5400031_trimmed_R1.scaffold.annot,0
SRX5400032_trimmed_R1.scaffold.annot,0
SRX5400033_trimmed_R1.scaffold.annot,0
SRX5400034_trimmed_R1.scaffold.annot,0
SRX5400036_trimmed_R1.scaffold.annot,0
SRX5400038_trimmed_R1.scaffold.annot,0
SRX5400039_trimmed_R1.scaffold.annot,1
SRX5400040_trimmed_R1.scaffold.annot,0
SRX5400041_trimmed_R1.scaffold.annot,0
SRX5400042_trimmed_R1.scaffold.annot,1
SRX5400043_trimmed_R1.scaffold.annot,1
SRX5400044_trimmed_R1.scaffold.annot,0
SRX5400045_trimmed_R1.scaffold.annot,0
SRX5400046_trimmed_R1.scaffold.annot,0
SRX5400047_trimmed_R1.scaffold.annot,0
SRX5400048_trimmed_R1.scaffold.annot,0
SRX5400050_trimmed_R1.scaffold.annot,1
SRX5400051_trimmed_R1.scaffold.annot,1
SRX5400052_trimmed_R1.scaffold.annot,1
SRX5400053_trimmed_R1.scaffold.annot,1
SRX5400054_trimmed_R1.scaffold.annot,1
SRX5400055_trimmed_R1.scaffold.annot,1
SRX5400056_trimmed_R1.scaffold.annot,1
SRX5400057_trimmed_R1.scaffold.annot,1
SRX5400059_trimmed_R1.scaffold.annot,0
SRX5400063_trimmed_R1.scaffold.annot,0
SRX5400068_trimmed_R1.scaffold.annot,0
SRX5400069_trimmed_R1.scaffold.annot,1
SRX5400070_trimmed_R1.scaffold.annot,0
SRX5400071_trimmed_R1.scaffold.annot,0
SRX5400072_trimmed_R1.scaffold.annot,0
SRX5400075_trimmed_R1.scaffold.annot,0
SRX5400077_trimmed_R1.scaffold.annot,0
SRX5400078_trimmed_R1.scaffold.annot,0
SRX5400079_trimmed_R1.scaffold.annot,0
SRX5400080_trimmed_R1.scaffold.annot,0
SRX5400082_trimmed_R1.scaffold.annot,0
SRX5400083_trimmed_R1.scaffold.annot,0
SRX5400084_trimmed_R1.scaffold.annot,0
SRX5400087_trimmed_R1.scaffold.annot,1
SRX5400089_trimmed_R1.scaffold.annot,1
SRX5400090_trimmed_R1.scaffold.annot,1
SRX5400091_trimmed_R1.scaffold.annot,1
SRX5400092_trimmed_R1.scaffold.annot,1
SRX5400093_trimmed_R1.scaffold.annot,0
SRX5400094_trimmed_R1.scaffold.annot,0
SRX5400095_trimmed_R1.scaffold.annot,0
SRX5400096_trimmed_R1.scaffold.annot,0
SRX5400097_trimmed_R1.scaffold.annot,0
SRX5400098_trimmed_R1.scaffold.annot,0
SRX5400099_trimmed_R1.scaffold.annot,1
SRX5400100_trimmed_R1.scaffold.annot,1
SRX5400101_trimmed_R1.scaffold.annot,1
SRX5400102_trimmed_R1.scaffold.annot,1
SRX5400104_trimmed_R1.scaffold.annot,1
SRX5400105_trimmed_R1.scaffold.annot,1
SRX5400106_trimmed_R1.scaffold.annot,1
SRX5400107_trimmed_R1.scaffold.annot,1
SRX5400109_trimmed_R1.scaffold.annot,1
SRX5400111_trimmed_R1.scaffold.annot,0
SRX5400112_trimmed_R1.scaffold.annot,0
SRX5400113_trimmed_R1.scaffold.annot,0
SRX5400114_trimmed_R1.scaffold.annot,0
SRX5400115_trimmed_R1.scaffold.annot,0
SRX5400119_trimmed_R1.scaffold.annot,0
SRX5400120_trimmed_R1.scaffold.annot,0
SRX5400121_trimmed_R1.scaffold.annot,0
SRX5400122_trimmed_R1.scaffold.annot,0
SRX5400123_trimmed_R1.scaffold.annot,0
SRX5400124_trimmed_R1.scaffold.annot,0
SRX5400125_trimmed_R1.scaffold.annot,0
SRX5400126_trimmed_R1.scaffold.annot,0
SRX5400128_trimmed_R1.scaffold.annot,0
SRX5400129_trimmed_R1.scaffold.annot,0
SRX5400130_trimmed_R1.scaffold.annot,1
SRX5400131_trimmed_R1.scaffold.annot,1
SRX5400133_trimmed_R1.scaffold.annot,1
SRX5400134_trimmed_R1.scaffold.annot,1
SRX5400135_trimmed_R1.scaffold.annot,1
SRX5400136_trimmed_R1.scaffold.annot,1
SRX5400137_trimmed_R1.scaffold.annot,1
SRX5400138_trimmed_R1.scaffold.annot,1
SRX5400139_trimmed_R1.scaffold.annot,1
SRX5400140_trimmed_R1.scaffold.annot,1
SRX5400141_trimmed_R1.scaffold.annot,1
SRX5400142_trimmed_R1.scaffold.annot,1
SRX5400145_trimmed_R1.scaffold.annot,1
SRX5400146_trimmed_R1.scaffold.annot,1
SRX5400147_trimmed_R1.scaffold.annot,1
SRX5400153_trimmed_R1.scaffold.annot,1
SRX5400154_trimmed_R1.scaffold.annot,1
SRX5400155_trimmed_R1.scaffold.annot,1
SRX5400156_trimmed_R1.scaffold.annot,1
SRX5400157_trimmed_R1.scaffold.annot,1
SRX5400158_trimmed_R1.scaffold.annot,1
SRX5400159_trimmed_R1.scaffold.annot,1
SRX5400160_trimmed_R1.scaffold.annot,1
SRX5400161_trimmed_R1.scaffold.annot,1
SRX5400162_trimmed_R1.scaffold.annot,1
SRX5400167_trimmed_R1.scaffold.annot,1
SRX5400169_trimmed_R1.scaffold.annot,1
SRX5400170_trimmed_R1.scaffold.annot,1
SRX5400171_trimmed_R1.scaffold.annot,1
SRX5400172_trimmed_R1.scaffold.annot,1
SRX5400174_trimmed_R1.scaffold.annot,0
SRX5400175_trimmed_R1.scaffold.annot,0
SRX5400176_trimmed_R1.scaffold.annot,0
SRX5400177_trimmed_R1.scaffold.annot,0
SRX5400178_trimmed_R1.scaffold.annot,0
SRX5400179_trimmed_R1.scaffold.annot,0
SRX5400180_trimmed_R1.scaffold.annot,0
SRX5400181_trimmed_R1.scaffold.annot,0
SRX5400182_trimmed_R1.scaffold.annot,0
SRX5400183_trimmed_R1.scaffold.annot,1
SRX5400184_trimmed_R1.scaffold.annot,1
SRX5400185_trimmed_R1.scaffold.annot,1
SRX5400186_trimmed_R1.scaffold.annot,1
