Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
esxW,,ESAT-6-like protein EsxW,146,0,3,128,97.98657718,100,inf,6.96E-77,9.70E-73,9.70E-73,13,13,0,0.000244141,0.000244141
group_131,,hypothetical protein,148,3,1,125,99.32885906,97.65625,6166.666667,1.35E-74,1.88E-70,7.92E-71,12,12,0,0.000488281,0.000488281
group_2913,,hypothetical protein,147,2,2,126,98.65771812,98.4375,4630.5,1.70E-74,2.38E-70,7.92E-71,12,12,1,0.000488281,0.006347656
group_1515,,putative PPE family protein PPE51,149,6,0,122,100,95.3125,inf,3.32E-72,4.63E-68,1.16E-68,13,13,0,0.000244141,0.000244141
group_1351,,putative protein,143,1,6,127,95.97315436,99.21875,3026.833333,1.88E-70,2.62E-66,5.24E-67,12,12,0,0.000488281,0.000488281
group_3905,,hypothetical protein,0,120,149,8,0,6.25,0,1.45E-69,2.02E-65,3.37E-66,13,0,13,0.000244141,0.000244141
group_3062,,hypothetical protein,2,122,147,6,1.342281879,4.6875,0.00066912,2.34E-68,3.26E-64,4.66E-65,12,2,12,0.000488281,0.038574219
group_908,,putative protein,149,12,0,116,100,90.625,inf,7.91E-65,1.10E-60,1.38E-61,13,13,0,0.000244141,0.000244141
PPE2,,putative PPE family protein PPE2,145,8,4,120,97.31543624,93.75,543.75,1.11E-62,1.54E-58,1.71E-59,12,10,3,0.038574219,0.145996094
group_3627,,hypothetical protein,149,15,0,113,100,88.28125,inf,1.26E-61,1.75E-57,1.75E-58,13,13,0,0.000244141,0.000244141
group_3936,,hypothetical protein,0,110,149,18,0,14.0625,0,1.17E-58,1.63E-54,1.49E-55,13,0,13,0.000244141,0.000244141
ppsB,,Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsB,142,13,7,115,95.30201342,89.84375,179.4505495,3.66E-53,5.09E-49,4.24E-50,11,9,4,0.065429687,0.548828125
group_3894,,hypothetical protein,6,112,143,16,4.026845638,12.5,0.005994006,2.30E-51,3.21E-47,2.29E-48,12,3,12,0.000488281,0.145996094
group_3896,,hypothetical protein,6,112,143,16,4.026845638,12.5,0.005994006,2.30E-51,3.21E-47,2.29E-48,12,3,12,0.000488281,0.145996094
group_3916,,hypothetical protein,6,110,143,18,4.026845638,14.0625,0.006865861,1.75E-49,2.44E-45,1.56E-46,12,4,10,0.038574219,0.387695313
